ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADES INTEGRADAS DE PEDRO LEOPOLDO,FIPEL,MG,Privada,8,2,227,3
FACULDADE DO NOROESTE DE MINAS,FINOM,MG,Privada,11,3,177,2
FACULDADE DE FORMAÇÃO DE PROFESSORES DE BELO JARDIM,FABEJA,PE,Municipal,5,5,132,2
FACULDADE DE CIENCIAS DA ADMINISTRACAO DO LIMOEIRO,FACAL,PE,Municipal,1,1,172,2
FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS LETRAS UNIÃO DA VITÓRIA,FAFIUV,PR,Estadual,8,7,235,3
FACULDADE DE CIÊNCIAS APLICADAS E SOCIAIS DE PETROLINA,FACAPE,PE,Municipal,7,4,246,3
FACULDADE DE EDUCAÇÃO DE ITABORAÍ,FEITA,RJ,Municipal,2,0,,
FACULDADE DE CIENCIAS DA ADMINISTRACAO DE GARANHUNS,FAGA,PE,Municipal,1,1,167,2
FACULDADE DE FORMAÇÃO DE PROFESSORES DE GOIANA,F.F.P.G.,PE,Municipal,5,4,105,2
FACULDADE DE FORMAÇÃO DE PROFESSORES DE ARARIPINA,FAFOPA,PE,Municipal,4,4,154,2
FACULDADE DE CIÊNCIAS AGRÁRIAS DE ARARIPINA,FACIAGRA,PE,Municipal,1,0,,
FACULDADE SÃO JOSÉ,FSJ,RJ,Privada,6,5,172,2
FACULDADE DE ARTES DULCINA DE MORAES,FADM,DF,Privada,1,1,196,3
INSTITUTO DE CIÊNCIAS SOCIAIS APLICADAS,UNEB,DF,Privada,3,3,127,2
INSTITUTO DE CIÊNCIAS EXATAS,UNEB,DF,Privada,2,2,166,2
FACULDADE BÉTHENCOURT DA SILVA,FABES,RJ,Privada,2,2,202,3
FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS E LETRAS DE CORNÉLIO PROCÓPIO,FAFICOP,PR,Estadual,8,8,218,3
FACULDADES INTEGRADAS DE BOTUCATU,UNIFAC,SP,Privada,7,7,214,3
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS DO CABO DE SANTO AGOSTINHO,FACHUCA,PE,Municipal,2,0,,
FACULDADE DE EDUCAÇÃO DE ASSIS,FAEDA,SP,Privada,1,1,222,3
ESCOLA DE EDUCAÇÃO FÍSICA DE ASSIS,EEFA,SP,Privada,1,1,158,2
FACULDADE DE ADMINISTRACAO DE ASSIS,FAA,SP,Privada,1,1,144,2
